Tier,State,Type,Firm,City,Decision-maker,Contact,Fit,Notes
Shortlist (multi-state),AR,Firm,Bell & Company PA,North Little Rock,,contact form,Multi-state,"100% employee-owned CPA & advisory firm with offices in North Little Rock, Conway and Harrison; contact page has phone/form only, no literal email; Boone County (Harrison) under FEMA DR-4788 May 2024"
OK-tier,AZ,Firm,Red Rock Accounting Group LLC,Cottonwood,,find manually,Multi-state,"Verde Valley firm with offices in Cottonwood, Phoenix, Mesa, Tempe, Gilbert; no email published on redrockazcpas.com contact page (phone only)"
OK-tier,AZ,Firm,"Black & Soli, P.C., CPA",Green Valley,,contact form,Business-entity,"Green Valley AZ CPA since 1975; full tax/accounting/consulting; site has newsletter form and phone only, no contact email published"
OK-tier,CA,Firm,Gilbert CPAs,Sacramento,,contact form,Business-entity,"Sacramento full-service firm since 1984; tax, audit and advisory; no email published, only phone (916) 646-6464 and web form"
OK-tier,CA,Firm,"Vance, Thrift & Biller LLP",Ventura,"Oather Vance, Gene Thrift, Gerry Biller",contact form,Business-entity,"Ventura firm; income tax prep/planning, estate and trust, QuickBooks consulting; no email published on site"
OK-tier,CA,Firm,Maryanov Madsen Gordon & Campbell (MMGC),Palm Springs,,contact form,Business-entity,"Palm Springs full-service firm; income tax prep, audit/attest, financial statements; only phone (760) 320-6642 and address published, no email"
OK-tier,CA,Firm,"Ingraham & Associates, CPAs",Salinas,Horace Ingraham,find manually,Business-entity,"Salinas firm; tax, bookkeeping, audits/reviews and cannabis accounting; email is JS-encoded in footer, not shown verbatim"
Solo (individual),CA,Individual,Betsy Peterson CPA,Yuba City,Betsy Peterson,find manually,Business-entity,Yuba City solo CPA focused on small businesses plus individual tax; site lists phone (530) 329-8617 but no email shown
OK-tier,CO,Firm,"The Henn Group, LLC",Pueblo,,contact form,Business-entity,"Full tax, accounting & business consulting; industry-specialized (construction, real estate, healthcare); Pueblo + Colorado Springs offices; web form only, no email published"
OK-tier,CO,Firm,"Hewitt, Heerschap & Couch, PC",Pueblo,Daniel M. Hewitt,find manually,Business-entity,"Tax prep/planning + small-business accounting + payroll + QuickBooks; partners Hewitt/Heerschap/Couch CPAs; 511 W 10th St, Pueblo; no email on site"
OK-tier,CO,Firm,Grand Mesa CPA's,Grand Junction,Christopher Thompson,find manually,Business-entity,"Business accounting & tax advisors; 744 Horizon Ct, Grand Junction; site email not published verbatim (ZoomInfo shows masked @gmcpas.com only)"
Solo (individual),CO,Individual,"Melanie M. Berk CPA, LLC",Grand Junction,Melanie M. Berk,find manually,Business-entity,"Full-service tax, accounting & business consulting firm; business & individual services; Grand Junction; no email published on reachable pages"
OK-tier,CO,Firm,"O'Donnell & Dennis, CPAs, LLC",Longmont,,find manually,Business-entity,"Business tax prep + planning + estate/trust + crypto accounting + IRS relief; 1325 Dry Creek Dr, Longmont (Boulder County / Marshall Fire area); no email on page"
Solo (individual),FL,Firm,Thielen+ Tax & Business Consulting,Tallahassee,James F. Thielen,find manually,Business-entity,"Site lists Small Business Accounting, Incorporation Services, Outsourced CFO; no literal email shown on site → find manually"
OK-tier,FL,Firm,"Solomon & Hoover CPAs, PLLC",Fort Myers,Michele M. Hoover,contact form,Business-entity,"Serves Fort Myers and Cape Coral; business accounting, tax, IRS representation; no literal email on contact page → web form only; SW FL hurricane zone"
OK-tier,FL,Firm,DiSalvo And Company PA,Vero Beach,,contact form,Business-entity,"Vero Beach; Business Incorporation Services, small business accounting, QuickBooks; no literal email shown on contact page → web form only; Treasure Coast hurricane-prone"
Shortlist (multi-state),FL,Firm,Davidson & Nick CPAs,Naples,Paul Nick,find manually,Multi-state,"Naples; business entity selection, M&A, international/state-and-local tax; no literal email on site → find manually; serves farming, medical, non-profit"
Solo (individual),FL,Firm,Holes & Company CPAs,Naples,Jared Holes,find manually,Business-entity,"Naples firm owned by Jared Holes CPA; serves Marco Island, Estero, Bonita Springs; no literal email surfaced on site → find manually; SW FL hurricane zone"
OK-tier,FL,Firm,"Wisneski, Sears & Sleeper, PA",Jupiter,Lesley A. Sears,find manually,Business-entity,"Jupiter; full-service tax, accounting and business consulting; only a directory-listed staff email (amvillano@myjupitercpa.com) seen, not confirmed on firm site → find manually; pres. Lesley Sears, VP Eric Sleeper"
Solo (individual),FL,Firm,"Parrish & Parrish CPAs, P.A.",Lakeland,,find manually,Business-entity,Lakeland; site advertises New Business Formation and business services; contact page did not load a literal email (admin@parrishcpas.com seen only in a directory snippet) → find manually
OK-tier,GA,Firm,SME CPA (Serotta Maddocks Evans),Augusta,,find manually,Business-entity,"Full-service tax/audit/accounting firm serving Augusta GA & Aiken SC; only contact form and phone (706) 722-5337 surfaced, no literal email"
OK-tier,GA,Firm,"McNair, McLemore, Middlebrooks & Co.",Macon,Daniel W. Miller,find manually,Business-entity,"80-yr Macon firm; partners page lists 22 partners incl. business-tax leads; concentrations in dealerships/construction/real-estate entities; partner emails follow firstname@mmmcpa.com pattern only, no literal address shown"
OK-tier,GA,Firm,"Robinson, Grimes & Company, P.C.",Columbus,,contact form,Business-entity,"90+ yr Columbus GA firm (5637 Whitesville Rd); 'Tax Planning & Compliance' + business advisory/audit; site routes to /contact form, no literal email"
OK-tier,GA,Firm,"Herring CPA Group, P.C.",Tifton,,find manually,,"Tifton/Sylvester GA firm with 9 CPAs serving individuals, small businesses, nonprofits, local governments; site shows only phone numbers, no email; south GA disaster region"
OK-tier,GA,Firm,Pettigrew & Pettigrew CPAs,Milledgeville,,find manually,,"Milledgeville GA firm at 150 Roberson Mill Rd; site returned 403, no literal email surfaced"
OK-tier,IA,Firm,Davis & Lewis PLC,Ottumwa,,contact form,Business-entity,"Ottumwa + Bloomfield, IA firm; corporate/business tax, bookkeeping, payroll, 34+ yrs. No literal email published — website contact form only."
OK-tier,IA,Firm,"Winkel, Parker & Foster, CPA PC",Clinton,,contact form,Business-entity,"Clinton, IA CPA firm with dedicated business-services page. Site uses a contact form / SecureSend rather than a published email address."
OK-tier,IA,Firm,Gosling and Company CPA,Cedar Falls,,contact form,Business-entity,"NE Iowa firm since 1943 (Cedar Falls/Waterloo/Waverly/Manchester/Independence/Edgewood); accounting, audit/assurance, tax planning. No literal email published — contact form only."
OK-tier,IA,Firm,"Broghammer and Duncan, P.C.",Cedar Rapids,,contact form,Business-entity,"Cedar Rapids CPA firm; per its own site, operations transferred to LattaHarris LLP effective July 2026. No literal email published — message form only."
OK-tier,IA,Firm,BakerStarrett LLP,Grinnell,,find manually,Business-entity,"Grinnell, IA full-service tax/accounting CPA firm also serving Oskaloosa; farm/ag, construction, medical, restaurants. Email field present in HTML but no literal address displayed — find manually."
OK-tier,IA,Firm,MHCS,West Des Moines,,find manually,Business-entity,"West Des Moines audit/tax/advisory firm; construction & real estate, manufacturing, healthcare, high-net-worth. No literal email on contact page — find manually."
Shortlist (multi-state),IA,Firm,The Vroman Group LLP,West Des Moines,Jeffrey Vroman,find manually,Business-entity,"West Des Moines firm (6601 Westown Pkwy). ZoomInfo shows only masked emails (j***@vromancpa.com) for owner Jeffrey Vroman — not verified, so find manually per no-guessed-email rule."
OK-tier,IA,Firm,"Martens & Company, CPA, LLP",West Des Moines,,find manually,Business-entity,"West Des Moines CPA firm (4949 Pleasant St). ZoomInfo shows only masked staff emails (h***@martenscocpa.com) — not verified, so find manually."
Solo (individual),IA,Individual,Lucas Dinklage CPA,Council Bluffs,Lucas Dinklage,find manually,Business-entity,"Council Bluffs, IA CPA; tax prep, business accounting, payroll, estate planning. Site lists phone only (712-322-8404), no literal email — find manually."
OK-tier,IA,Firm,A Plus Accounting and Tax,Cedar Rapids,David Paulson,contact form,Business-entity,Cedar Rapids = Aug 2020 derecho epicenter; partners Michelle Yetley + David Paulson CPA; contact form only
OK-tier,IA,Firm,Pearson & Virlee PC,Mount Vernon,Renee M. Virlee,contact form,Business-entity,Owner Renee Virlee CPA; Mount Vernon + Cedar Rapids; derecho-affected corridor; contact form only
OK-tier,IA,Firm,Douglas R. Drury LPA,Cedar Rapids,Douglas R. Drury,find manually,Business-entity,Full-service tax/accounting; Cedar Rapids (Aug 2020 derecho); info@druryaccounting.com in directory but site fetch failed — verify
Shortlist (multi-state),ID,Firm,"Presnell Gage, PLLC",Lewiston,,contact form,Multi-state,"Accounting & consulting firm since 1950 with 6 offices: Lewiston, Moscow, Grangeville, Orofino ID + Pullman WA + Eagle ID (pg.cpa). No literal email on site, contact form only. Nez Perce/Latah/Idaho/Clearwater counties all in Dec 2025 FEMA straight-line-wind declaration DR"
OK-tier,ID,Firm,Magnuson McHugh Dougherty CPAs,Coeur d'Alene,,contact form,Business-entity,"27+ yr CPA firm serving Coeur d'Alene/Post Falls (mmd.cpa); site returned 403/contact-form only, no literal email found. Kootenai County in Dec 2025 FEMA straight-line-wind declaration"
OK-tier,ID,Firm,Kimpton & Co. CPAs,Post Falls,,contact form,Business-entity,"Post Falls CPA at 605 E 6th Ave; kevinkimpton.com contact page is form-only, no literal email shown. Kootenai County in Dec 2025 FEMA straight-line-wind declaration"
OK-tier,ID,Firm,Grow Rasmussen LLP,Boise,Jason Peery,contact form,Business-entity,"Boise CPA at 12550 W Explorer Dr; partners Jason Peery, Stephen Larson, Paul Broadbent, Matt Parish per growrasmussen.com; site is contact-form only, no literal email"
OK-tier,ID,Firm,B.A. Harris,Boise,Tyler Nyman,contact form,Business-entity,"Boise CPA firm; managing partner Tyler Nyman plus partners Greg Stalling, Kayla Kormylo; baharris.cpa is contact-form only, no literal email"
OK-tier,ID,Firm,"Johnson & Co., CPAs PC",Boise,,contact form,Business-entity,"Boise CPA firm, AICPA & Idaho Society of CPAs member; jcocpas.com is contact-form only, serves business owners & executives"
OK-tier,ID,Firm,Knuff & Kunde CPAs,Eagle,Bryan Knuff,find manually,Business-entity,"Eagle ID CPA at 515 S Fitness Pl serving Boise/Meridian/Treasure Valley; owner Bryan Knuff; no email shown on knuffcpas.com homepage - find manually. Business start-ups, entity selection, estate planning"
OK-tier,ID,Firm,Mahlke Hunsaker & Company,Twin Falls,Scott Hunsaker,find manually,Business-entity,Twin Falls CPA; partners Scott Hunsaker and Troy Mahlke (both CPA) per m-hcpa.com; contact email is JS-obfuscated on site - find manually
OK-tier,ID,Firm,"Hayden Ross, PLLC",Moscow,,find manually,Business-entity,"Locally owned full-service CPA firm at 315 S Almon St, Moscow ID (haydenross.com); no literal email on site - find manually. Latah County in Dec 2025 FEMA wind declaration"
Solo (individual),ID,Individual,"Jason L. Peterson, CPA",Jerome,Jason L. Peterson,find manually,,Solo full-service CPA in Jerome ID; jasonpetersoncpa.com has no literal email (newsletter form only) - find manually. Magic Valley tax & business accounting
Solo (individual),ID,Firm,SC Business Advisory CPA,Coeur d'Alene,,find manually,Business-entity,Coeur d'Alene CPA at 1250 W Ironwood Dr offering business formation/incorporation services (scbusinessadvisory.com); no literal email on site - find manually. Kootenai County in Dec 2025 FEMA wind declaration
OK-tier,IL,Firm,Zupancic Navetta LLC,Peoria,Frank Zupancic (CPA),contact form,Business-entity,"30+ yr Peoria firm for small businesses & individuals; business/personal tax, payroll; web form only, no email published"
OK-tier,IL,Firm,"Murphy & Associates CPAs, LLC",Springfield,,contact form,Business-entity,"Springfield small-business CPA firm; bookkeeping, tax prep/planning, audit; web form only, no email published"
OK-tier,IL,Individual,Ryan Tax and Accounting (Edward J. Ryan CPA),Danville,"Edward J. Ryan, CPA, EA",find manually,Business-entity,"Solo Danville CPA; accounting help to entrepreneurs statewide, payroll, financial statements; site 403/no verified email"
OK-tier,IL,Firm,"May, Cocagne & King P.C. (MCK CPAs & Advisors)",Decatur,,find manually,Business-entity,"Offices Decatur, Bloomington & Monticello; tax, audit, ag/grain & business services; no email published on site"
Shortlist (multi-state),IN,Firm,Kemper CPA Group LLP,Vincennes,Kyle Telligman,contact form,Multi-state,Top-100 US firm; offices across CA/IL/IN/KY incl. Vincennes & Terre Haute; audit/tax/advisory; no published office email
OK-tier,IN,Firm,"Mahoney Heineman & Co., P.C.",Anderson,Michael Mahoney / Jay Heineman,contact form,Business-entity,Small-business accounting + income tax for LLCs/S-corps/non-profits; Anderson (central Indiana tornado zone); site form only
OK-tier,IN,Firm,Estep-Doctor & Company,Muncie,,find manually,Business-entity,Personal & business tax + nonprofit consulting; Muncie & Anderson offices; startups to nationwide corporations; phone only
OK-tier,IN,Firm,Warrior Business Services,Fort Wayne,,contact form,Business-entity,Explicit Indiana S-corp/partnership/LLC returns + reasonable-salary/K-1/distribution planning; Fort Wayne; form only
OK-tier,IN,Firm,"FOUDY CPA GROUP, PC",Fort Wayne,Ronald Foudy,find manually,Business-entity,"Custom small-business accounting/tax packages; Fort Wayne (NE Indiana storm zone); phone only, no published email"
Shortlist (multi-state),IN,Firm,Swartz Retson & Co. P.C.,Merrillville,,contact form,Multi-state,NW Indiana (Lake County) firm; business consulting/audit/succession across construction/manufacturing/healthcare; form only
OK-tier,IN,Firm,Prasco & Associates PC,Crown Point,Mary Kay Prasco,find manually,Multi-state,Serves individuals across Indiana & small-to-medium businesses nationwide; Crown Point (NW Indiana); phone only
OK-tier,IN,Firm,Applegate & Company CPAs,Michigan City,Paul Applegate,contact form,Business-entity,Tax + audits/reviews/compilations + planning/consulting; Michigan City (NW Indiana / Lake Michigan storm zone); form only
OK-tier,IN,Firm,"Zehner, Maloy & Associates CPA's LLC",Logansport,,contact form,Business-entity,Tax prep + business accounting + IRS representation + business consulting; Logansport (N-central Indiana); form only
Solo (individual),IN,Individual,APEX Tax & Small Business,Fort Wayne,Barbara,find manually,Business-entity,"Full-service small-business accounting; email JS-obfuscated (Barbara@Apex1040.com listed, unverified); Fort Wayne storm zone"
Solo (individual),IN,Individual,Brackmann Tax & Accounting,Evansville,Todd Christopher,find manually,Business-entity,"Tax planning/prep for corporations, partnerships & fiduciaries; no published email; SW Indiana tornado zone"
OK-tier,IN,Firm,L.A. Merry & Associates PC,Bloomington,,find manually,Business-entity,"Tax & management firm founded 1982; site blocked fetch (info@lamerrycpa.com listed, unverified)"
OK-tier,IN,Firm,Pherson & Associates PC CPAs,Lafayette,,find manually,Business-entity,"Small-business tax/accounting for Lafayette/W Lafayette; site blocked fetch (info@phersoncpa.com listed, unverified)"
Shortlist (multi-state),IN,Individual,R.E. Pierce & Associates PC,New Albany,Ron Pierce,find manually,Multi-state,"State & Local Tax services; Ron Pierce licensed IN & KY; phone only, no published email"
OK-tier,KS,Firm,"Douglas A. Sutton, CPA",Olathe,Douglas A. Sutton,find manually,Business-entity,Full-service tax/accounting/business consulting; small-business accounting; site blocked bots — confirm email manually
OK-tier,KS,Firm,"Andover CPAs, PA",Andover,Dennis A. Mullins / Wes Clary,find manually,Business-entity,"Individual & small-business tax planning/prep, bookkeeping, payroll, consultation; Wichita-metro (Andover/Bel Aire). Email JS-obfuscated on site. Tornado Alley"
OK-tier,KS,Firm,Brungardt Hower Ward Elliott & Pfeifer L.C.,Hays,Brungardt / Hower / Ward / Elliott / Pfeifer,find manually,Business-entity,Tax planning & financial services; offices Hays & Garden City; Western-KS tornado/severe-storm zone. No email published — confirm manually
OK-tier,KS,Firm,"Jaderborg Accounting, Inc.",Abilene,,find manually,Business-entity,Full-service tax/accounting/business consulting; Central-KS (Dickinson County). Site returned 403 — confirm email manually
Shortlist (multi-state),KS,Firm,Woods & Durham Chartered,Salina,,find manually,Multi-state,"60+ yrs; personal/partnership/corporate/fiduciary tax, trust/estate, compilations; offices Salina, Beloit, Clay Center KS & Holdrege NE. No email on site — confirm manually. Central-KS tornado zone"
OK-tier,KS,Firm,"Parman, Tanner, Soule & Jackson, CPAs RLLP",Arkansas City,Parman / Tanner / Soule / Jackson,find manually,Business-entity,"Full-service CPA firm for business owners, executives & professionals; S-central KS. Email not published in snippet — confirm manually"
OK-tier,KS,Firm,"J P Long, CPA, LLC",Winfield,J.P. Long,find manually,Business-entity,Full-service tax/accounting/business consulting; S-central KS (Cowley County). Email not shown in snippet — confirm manually
OK-tier,KS,Firm,"Norton & Sims CPAs, LLC",Winfield,Michael Norton / Michelle Sims,find manually,Business-entity,Woman-owned; tax & accounting; S-central KS (Cowley County). Chamber listing hides email behind link — confirm manually
OK-tier,KS,Firm,"Kittrell & Klaskin, LLC",Wichita,Ryan Kittrell / Lisa Klaskin,contact form,Business-entity,Veteran-owned small-biz CPA firm (est. 2021); tax prep + strategic planning; email in directory not confirmed. Tornado Alley
OK-tier,KS,Firm,"WilsonHaag, PLLC",Overland Park,,contact form,Business-entity,"Small-business accounting, business formation, payroll, succession planning; 40+ yrs; contact form only"
OK-tier,KS,Firm,"Cornerstone CPA, LLC",Overland Park,,contact form,Business-entity,Integrated accounting + tax strategy + advisory for business owners; incl. expat services; contact form only
Solo (individual),KS,Individual,"Terry M. Garrett, CPA",Lawrence,Terry M. Garrett,find manually,Business-entity,"Solo CPA, Lawrence & Lenexa; business tax advice, payroll, bookkeeping; no email published"
Solo (individual),KS,Individual,"Stonecreek Accounting, LLC",Lawrence,Sarah Dinges,find manually,Business-entity,"Solo CPA; small-business & self-employed tax, business-structure consult, S-corp comp planning; no email published"
OK-tier,KS,Firm,Navigator CPA Inc. (CNR Consulting),Topeka,,find manually,Business-entity,Small-business accounting/bookkeeping/payroll/QuickBooks; directory listed todd@navigatorcpa.com not confirmed — form
OK-tier,KS,Firm,Busenbark Wright CPA LLC,Hutchinson,Dan Busenbark / Jeff Wright,contact form,Business-entity,"Small-business tax strategy/planning/prep, family-business succession, payroll; contact form. Reno County tornado zone"
Solo (individual),KS,Individual,Terry M Rabe CPA,Dodge City,Terry M. Rabe,find manually,Business-entity,"Solo CPA, 40+ yrs; tax planning/prep, bookkeeping, payroll; email obfuscated. SW-KS tornado zone"
OK-tier,KS,Firm,"Wilbert & Besperat CPAs, LLC",Pittsburg,Wilbert / Besperat,find manually,Business-entity,"Full-service tax/accounting/consulting, SE Kansas; site timed out — confirm email manually"
OK-tier,KY,Firm,"DGA, PSC",Hopkinsville,,find manually,Business-entity,"Auditing, accounting, tax and management advisory firm with Hopkinsville & Russellville KY offices; western KY focus. Site shows phone/address only, no email (270-886-6355)."
OK-tier,KY,Firm,"Hensley & Throneberry, CPAs",Bowling Green,Drew Hensley,find manually,Business-entity,"Bowling Green firm (324 E Tenth Ave) serving southern KY and northern TN; accounting, tax, assurance, payroll. KYCPA/AICPA members. Site shows phone only (270-904-2545), no email."
OK-tier,KY,Firm,"Shelton CPAs, LLP",Bowling Green,Jerry Shelton,contact form,Business-entity,"Bowling Green firm since 1987; accounting, tax planning, audits, forensics, business valuations and litigation support. Site has Contact Us form, no email listed."
OK-tier,KY,Firm,"Sturgeon Collins CPAs, PLLC",London,,contact form,Business-entity,"London KY firm; full range of audit, accounting, income tax and business consulting for small/medium businesses incl. construction and governmental. Site contact form only."
OK-tier,KY,Firm,"Cloyd & Associates, PSC",Corbin,,find manually,Business-entity,"Full-service accounting firm with Corbin and London KY offices (plus Lexington); tax and accounting for individuals and businesses. Site shows phone/fax per office, no email."
Shortlist (multi-state),KY,Firm,"Taylor, Polson & Company CPAs, PSC",Glasgow,,contact form,Business-entity,"Family-owned since 1965 with Glasgow and Bowling Green KY offices; bookkeeping, payroll, tax, attestation, estate & trust and crypto handling. Site contact form only."
OK-tier,KY,Firm,"Kelley Galloway Smith Goolsby, PSC",Ashland,,contact form,Multi-state,"Ashland KY and Cincinnati OH offices since 1950; tri-state audit, tax, accounting, business valuation and IT consulting. Ashland is in the FEMA-declared eastern-KY flood corridor. Site contact form only."
OK-tier,KY,Firm,"Mitchell & Associates, PLLC",Henderson,,find manually,Business-entity,"Henderson KY firm (812 2nd St); accounting, tax, consulting, payroll, benefits, litigation support, forensic accounting and business valuation. Homepage shows phone only (270-827-5828)."
OK-tier,KY,Firm,"Collins & Slone, CPA",Pikeville,Cecil Slone Jr.,find manually,Business-entity,"Pikeville (587 N Mayo Trl) CPA firm, SE KY Chamber member since 1977; tax prep, planning, bookkeeping, accounting. Pikeville/Pike County sits in FEMA-declared eastern-KY flood corridor. No email published; phone 606-432-4171."
OK-tier,KY,Firm,"Evans, Harville, Atwell & Company, CPAs, PLLC",Somerset,,find manually,Business-entity,"Somerset (Lake Cumberland) full-service tax, accounting and business consulting firm with partners/CPA staff pages. No email string found on public pages; contact page only."
OK-tier,LA,Firm,"Broussard & Company, CPAs",Lake Charles,,contact form,Business-entity,"Since 1978; full-service accounting, audit, advisory, risk mgmt & tax; startup consulting; Lake Charles (Hurricane Laura zone); contact form only"
OK-tier,LA,Firm,"Boddie, Plush & Branch, CPA's, LLC",DeRidder,,contact form,Business-entity,"Since 1985; tax prep, corporate bookkeeping, strategic planning; offices DeRidder, Moss Bluff & Leesville (SW LA hurricane belt); contact form only"
OK-tier,LA,Firm,"Pinell & Martinez, CPAs",Covington,Chris Pinell,contact form,Business-entity,"Tax reporting/planning, payroll, QuickBooks, small-business solutions, SALT, audits; offices Covington & Ponchatoula (Northshore hurricane zone); contact form only"
Solo (individual),LA,Individual,"Jeffrey B. Mathews, CPA, LLC",Sulphur,Jeffrey B. Mathews,contact form,Business-entity,"Small-business accounting, payroll, tax prep, outsourced CFO, IRS resolution; Sulphur (SW LA, Hurricane Laura direct-hit area); CountingWorks web form only"
OK-tier,LA,Firm,"Dugas, Soileau & Breaux, LLC",Crowley,Scott Soileau,find manually,Business-entity,"14-person CPA firm; tax & accounting compliance, financial analysis; Crowley (Acadia Parish, Gulf/flood zone); site blocks scraping — email not confirmed on own site"
OK-tier,MN,Firm,"Fort & Company, P.A.",Hibbing,Connor B. Michels,find manually,"Business-entity, Disaster","Site shows office emails for Hibbing/Biwabik/Chisholm but all Cloudflare-obfuscated so not verifiable; shareholders Connor Michels EA, Christine Towner CPA, Victoria Arnoldy CPA. St. Louis County = FEMA-4797-DR disaster county."
OK-tier,MN,Firm,Peterson Juergensen Hemerick & Co.,Hutchinson,,find manually,Business-entity,"Est. 1962; full-service tax, accounting, audit, payroll and estate planning. Email on site is Cloudflare-obfuscated, not verifiable literally."
OK-tier,MN,Firm,"Muckala & Werhan, PLLC",Cloquet,,contact form,Business-entity,"Site details business services (small business accounting, CFO, audits, new business formation) but shows no literal email, only a contact form. Licensed in MN; Carlton County near disaster region."
Solo (individual),MN,Firm,Miller McDonald,Bemidji,,contact form,Business-entity,"Founded 1970, 25+ staff; tax planning/prep, audit, payroll, accounting. No literal email on site, contact form only."
OK-tier,MN,Firm,"Smith & Sem, Ltd.",Fergus Falls,Kyle A. Sem,contact form,Business-entity,"Partners Michael R. Smith and Kyle A. Sem CPA; accounting, tax, payroll, QuickBooks. No literal email displayed, contact form only."
OK-tier,MN,Firm,"Carpenter, Evert & Associates",Bloomington,Neal Evert / Marc Colin / Matt Pillsbury,contact form,Business-entity,"40+ yrs; business/estate/sales tax, audit, advisory; contact form only"
OK-tier,MN,Firm,Swon Tax Prep,Bloomington,,contact form,Business-entity,Sole prop/LLC/partnership/S-corp/C-corp tax; Bloomington + Rochester; contact form only
OK-tier,MN,Firm,"Struss CPAs, P.C.",Owatonna,,find manually,Business-entity,"Small-business tax planning, audits/reviews/compilations; no email/form published"
Solo (individual),MN,Individual,Genesis Financial & Tax Solutions,Woodbury,Curt Swanson,find manually,Business-entity,"Owner-operated; business + individual tax, bookkeeping, payroll; no email published"
OK-tier,MN,Firm,Terry Evans & Associates Inc,Owatonna,,contact form,Business-entity,"Tax prep/planning, bookkeeping, payroll; callback form only"
OK-tier,MN,Firm,Scott Reid CPAs,Roseville,Scott Reid,find manually,Business-entity,"Entity selection/incorporation (C/S-corp, LLC, LLP), tax planning, outsourced CFO; no email published"
Solo (individual),MN,Individual,Murry & Associates LLC,Twin Cities metro,Patrick Murry / Jenna Johnson,find manually,Business-entity,"Tax planning/compliance, audits/reviews, business planning; no published email"
OK-tier,MO,Firm,Wade Stables P.C.,Hannibal,,find manually,Multi-state,"Regional MO+IL firm, 4 offices (Hannibal, Troy, O'Fallon MO + Quincy IL); comprehensive business tax/audit/consulting. Mississippi River flood region. No email published - phone/contact form only"
OK-tier,MO,Firm,"MWR CPAs, LLC (Maloney, Wright & Robbins)",Farmington,,contact form,Business-entity,"SE MO; tax prep for businesses, estate/trust tax; client portal + contact form, no email published"
OK-tier,MO,Firm,"Unnerstall and Unnerstall, CPA, P.C.",Washington,,find manually,Business-entity,"Franklin County; business tax planning/prep, accounting-method advisory; no email published on site (phone 636-239-6439)"
Solo (individual),MO,Individual,Sperry & Associates CPA PC,Independence,Teresa Sperry,find manually,Business-entity,"Independence (KC metro); tax + accounting. Only an sbcglobal.net address surfaced in a snippet, unconfirmed on site - verify before send"
OK-tier,MS,Firm,"The Gillon Group, PLLC",Natchez,,contact form,Multi-state,"Founded 1974, offices in Natchez and Brookhaven serving the 'Miss-Lou' region (MS + LA) plus Monroe LA and the Delta; no email published — web contact form only."
OK-tier,MS,Firm,James McIngvale CPA,Southaven,James McIngvale,find manually,Business-entity,"Southaven firm: income tax prep, small-business accounting, tax problem resolution, QuickBooks, realtor/real-estate-investor services. No email on site — phone only."
